"clip","attempt","provider_task_id","seed_applied","status","credits","saved_file","notes"
"CST-A-001","01","","not recorded","accepted","10","accepted/CST-A-001.mp4","new-prompt pass 1, owner-generated 2026-08-09"
"CST-A-002","01","","not recorded","accepted","10","accepted/CST-A-002.mp4","new-prompt pass 1, owner-generated 2026-08-09"
"CST-A-003","01","","not recorded","accepted","10","accepted/CST-A-003.mp4","new-prompt pass 1, owner-generated 2026-08-09"
"CST-A-004","01","","not recorded","accepted","10","accepted/CST-A-004.mp4","new-prompt pass 1, owner-generated 2026-08-09"
"CST-A-005","01","","not recorded","accepted","10","accepted/CST-A-005.mp4","new-prompt pass 1, owner-generated 2026-08-09"
"CST-A-006","01","","not recorded","accepted","10","accepted/CST-A-006.mp4","new-prompt pass 1, owner-generated 2026-08-09"
"CST-A-007","01","","not recorded","accepted","10","accepted/CST-A-007.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-008","01","","not recorded","accepted","10","accepted/CST-A-008.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-009","01","","not recorded","accepted","10","accepted/CST-A-009.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-010","01","","not recorded","accepted","10","accepted/CST-A-010.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-011","01","","not recorded","accepted","10","accepted/CST-A-011.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-012","01","","not recorded","accepted","10","accepted/CST-A-012.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-013","01","","not recorded","accepted","10","accepted/CST-A-013.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-014","01","","not recorded","accepted","10","accepted/CST-A-014.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-015","01","","not recorded","accepted","10","accepted/CST-A-015.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-016","01","","not recorded","accepted","10","accepted/CST-A-016.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-017","01","","not recorded","accepted","10","accepted/CST-A-017.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-018","01","","not recorded","accepted","10","accepted/CST-A-018.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-019","01","","not recorded","accepted","10","accepted/CST-A-019.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-020","01","","not recorded","accepted","10","accepted/CST-A-020.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-021","01","","not recorded","accepted","10","accepted/CST-A-021.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-022","01","","not recorded","accepted","10","accepted/CST-A-022.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-023","01","","not recorded","accepted","10","accepted/CST-A-023.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-024","01","","not recorded","accepted","10","accepted/CST-A-024.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-025","01","","not recorded","accepted","10","accepted/CST-A-025.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-026","01","","not recorded","accepted","10","accepted/CST-A-026.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-027","01","","not recorded","accepted","10","accepted/CST-A-027.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-028","01","","not recorded","accepted","10","accepted/CST-A-028.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-029","01","","not recorded","accepted","10","accepted/CST-A-029.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-030","01","","not recorded","accepted","10","accepted/CST-A-030.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-031","01","","not recorded","accepted","10","accepted/CST-A-031.mp4","new-prompt pass 1, owner-generated 2026-08-09, audited strips+endpoint-MAD"
"CST-A-032","01","","270716","pending","0","",""
"CST-A-033","01","","270716","pending","0","",""
"CST-A-034","01","","270716","pending","0","",""
"CST-A-035","01","","270716","pending","0","",""
"CST-A-036","01","","270717","pending","0","",""
"CST-A-037","01","","270717","pending","0","",""
"CST-A-038","01","","270718","pending","0","",""
"CST-A-039","01","","270718","pending","0","",""
"CST-A-040","01","","270718","pending","0","",""
"CST-A-041","01","","270718","pending","0","",""
"CST-A-042","01","","270718","pending","0","",""
"CST-A-043","01","","270718","pending","0","",""
"CST-A-044","01","","270719","pending","0","",""
"CST-A-045","01","","270719","pending","0","",""
"CST-A-046","01","","270719","pending","0","",""
"CST-A-047","01","","270719","pending","0","",""
"CST-A-048","01","","270719","pending","0","",""
"CST-A-049","01","","270711","pending","0","",""
"CST-A-050","01","","270711","pending","0","",""
